,Index,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
11,1673862,ALR9JPPLH03,B00FZ4KR4U,D. Ciaciuch,"[2, 2]",Despite the good reviews we were disappointed in this movie. It was OK at best and not worthy of the great reviews.,3.0,Just OK,1394928000,"03 16, 2014"
12,1673875,A1O7PQU48TF9M5,B00FZ4KR4U,"D. Smith ""d.smith""","[0, 0]",Julia Louis-Dreyfus steals the show. Fun and romantic.,3.0,Fun and romantic,1405900800,"07 21, 2014"
13,1673911,A6KRISBA3R8QN,B00FZ4KR4U,"Jeanne from Minneapolis ""weilx001""","[0, 0]","This film is O.K., not great. However, for those of us who are saddened by Jim Gandolfini's death, watching his films is comforting.",3.0,This one is worth watching in honor of Jim Gandolfini,1391385600,"02 3, 2014"
14,1674064,A1IWR4YH4ZA9BM,B00FZ4KR4U,"Suzanne Schumacher ""nocht2late""","[2, 2]","Blah, blah, blah.  It was a movie full...just full of talking.  Of a downtrodden Julia Louis Dreyfus...so downtrodden, in fact, that I could barely stand to watch it.  And her counterpart was just as disturbing.  What a last movie to go out with.  Awful.",3.0,Blah,1395446400,"03 22, 2014"
15,1674612,A4M26LTRLCUAV,B00FZM8Z7I,"Grateful Granny ""grateful grammy""","[0, 0]",Ordered for my child..couldn't hold his attention. Same old story as the miser whose problem was ...everything he touched turned to gold as here it was ice. Disappointed!,3.0,Frozen: The Miser Again in New Predicament,1396656000,"04 5, 2014"
16,1675482,A3UH2NF1TQK7F3,B00FZM8Z7I,Texmaryanne,"[0, 2]","I was so anxious to get to watch this DVD, because it won the Best Animated film award.  Maybe I expected too much of it, but I was disappointed.  It was just an okay film, in my opinion.  I hate the way so many children's movies start out with parents' being killed off.  I haven't seen a really good Disney movie since &#34;Cars.&#34;",3.0,Slightly disappointed,1398038400,"04 21, 2014"
17,1675607,A2LYAMHUS1UCPV,B00FZURN3C,George L. Williams,"[0, 0]","the kids liked it, I wasn't as impressed",3.0,Three Stars,1404777600,"07 8, 2014"
18,1675907,A3BG39N4UJDBQI,B00G15MDI0,"marie ""marie""","[0, 0]","I am not sure what I was expecting, but I found this movie to be a dark, very serious movie, and rather depressing at times. I think it was interesting and well-done, I just found it to be very sad.",3.0,Ok movie,1401494400,"05 31, 2014"
19,1676106,A1O1U9V9V4PXAG,B00G18JT6G,Meryl M.,"[3, 13]",I'm in the middle of this series now. I'm not enjoying it. There is no character who is actually likable. There are many horrific scenes.NOT FOR CHILDREN.I may come back and say more when I've finished it. Or not.,3.0,NOT for ANY children,1392508800,"02 16, 2014"
20,1676134,A3LA1W1YLVER18,B00G2P79BU,Aleta Morgan,"[0, 1]",One of those movies you watch and laugh at in spite of yourself.  One of those late night stupid movies that you watch to kill time.,3.0,This is a really bad movie,1392163200,"02 12, 2014"
21,1676163,A3E0898SDFOFXD,B00G2P79BU,"Cami=) ""Cami=)""","[0, 0]",It wasn't bad..... but that's just it.....it wasn't good either....cant tell you what missing necessarily but you can tell its missing.....fell asleep 30mins in...,3.0,ok,1391904000,"02 9, 2014"
22,1676190,A1OCYEKVFATL32,B00G2P79BU,Darlene,"[0, 1]",Bad taste movie not fit for the shelf. I would not let my children watch this move. Home alone has this movie beat.,3.0,Movie,1392249600,"02 13, 2014"
23,1676282,A1XEBR24VWW0NJ,B00G2P79BU,"Lyvoinne Harris ""vonnybunny""","[0, 0]",I was somewhat disappointed. The fact that it looked like a Documentary was annoying and I certainly did not like some of his actions performed.,3.0,Grandpa,1396915200,"04 8, 2014"
24,1676298,A3RLLL86F9EBQH,B00G2P79BU,Michael B.,"[0, 0]","Certainly not a movie for children. Funny but some parts were disgusting and gross. They went a little too far, very graphic with sexual content.",3.0,Creepy Grandpa,1402358400,"06 10, 2014"
25,1676342,A29W9NK3CYDH0K,B00G2P79BU,Rosie,"[0, 0]",he is funny but this movie sucked some parts were funny but other had me falling asleep jackass needs to come back on tv the show was funnier than this,3.0,not what i expected from johnny knockville,1398470400,"04 26, 2014"
26,1676449,A39MYWEXQ4ZRAA,B00G3HOJZ6,William H. Jefferson,"[1, 1]","It was good but too long, It had boring parts that I skipped over not because I was impatient but it was too long and it had alot of stupid parts to it.",3.0,Good But?????,1398816000,"04 30, 2014"
27,1676492,A2DGSDMNV02KBP,B00G4Q3KOC,AL- B TheRealReviewer,"[0, 1]",Personally I think the the movie Amistad was a more riveting slavery story than this. There was no Oscar winning performance that I saw here. I guess the naked lashings disgusted the judges into giving out &#34;pity&#34; Oscars.,3.0,It was okay.,1394150400,"03 7, 2014"
28,1676584,A37DI6VAYJKCDI,B00G4Q3KOC,Cecilia Porrua,"[0, 6]","There is no doubt this is a well made movie from the production to the acting.  Nevertheless, it showed nothing new to the viewers.  Again we saw the endless and horrendous abuse of human beings on the hands of the slave owners.  We were reminded of the contrast between good and evil in the era prior to the Civil War.  Is there somebody in America who ignores the extremes of this dark historical era?",3.0,Overrated,1394064000,"03 6, 2014"
29,1676679,A2XECVF3IKYKQ2,B00G4Q3KOC,Don Schaeffer,"[1, 2]",There's not much to the story.There are no surprises. Sound and fury. Colorful scenery. It just goes on to anti-climax.,3.0,A lot of whippings,1395273600,"03 20, 2014"
30,1676819,A38ZX3RG6H9FV7,B00G4Q3KOC,John Soflin,"[0, 0]",Well acted but the violent scenes are very hard to watch. Sad how throughout the history of man how we have treated each other. Still facting these issues today. If you like history you will enjoy the movie.,3.0,Hard to watch the violence but well acted.,1404864000,"07 9, 2014"
31,1676886,A2RMSH73IB2JB8,B00G4Q3KOC,Leroy  S Marion,"[1, 1]","All of the evil stories of slavery put into one movie. I have read the story and its not what is presented here. Over acted in many scenes, and Brad Pitt just made it worse.",3.0,"OK, but not like the written story at all",1405123200,"07 12, 2014"
32,1676937,AXFRYIAY5734U,B00G4Q3KOC,Mary S. Larson,"[1, 3]","Good movie, but no surprises.  It is a fairly good first time visual introduction to the cruelty of slavery and what monsters slave owners tended to become with that kind of power over other human beings.  The violence was well done but not over powering.",3.0,No Surprise,1393632000,"03 1, 2014"
33,1676938,A3R4F7ZDE843B3,B00G4Q3KOC,"Mary W. Black ""Lover of words""","[1, 2]","Exceptional acting but difficult to watch. Hard to believe this got the Best Oscar. White guilt still at work. Three stars for direction and casting. Otherwise, just tedious. Will you leave the theater enlightened, in awe, entertained, educated to something new? No. Definitely better than Gravity, the worst of the year. Would not recommend.",3.0,Same Theme..Rehashed to Death.,1395705600,"03 25, 2014"
34,1676961,A1ZIQE1HKWJDO7,B00G4Q3KOC,Miguel Eugene-a Perez,"[1, 2]","I appreciate the intention and the accuracy of the stories of Solomon Northup... but the where I got lost watching the film was the separation of personalities and development of characters. Understanding the intention of the film was to display the true brutality of slavery in the 1800's... maybe we need more awareness of the past. But for an almost three hour film, I wanted to get to know Solomon more as a person, I would have loved to see the trials after he was freed again. I would've loved to seen more of his life and family before he was captured. But the brutality was all that was left. Hard to stomach violence and degradation only goes so far to create awareness. Maybe I'm out of touch, but this film wasn't anymore effective to me than Glory, Roots or even the ridiculous Django Unchained as far as purveying a message of deep inequality and on-going struggle. What are we doing about it now, other than shocking people into feeling guilty about slavery. Call me out of touch.",3.0,Not much to say...,1394928000,"03 16, 2014"
35,1676983,AARHFHP17QFNG,B00G4Q3KOC,"Music Lover ""Peace. Love. Happiness.""","[1, 1]","Well, I bought this because it was so hyped up but really how many times can you hear about the atrocities of slavery and not be moved? It was horrible to see how they were treated. The rapes and murders were expected. The acting was superb (although my family could not understand why N'Yongo won for her part because it was so small of a part-I thought she was outstanding-they said all she did was scream-I said she delivered that whipping part and the part when she asked for him to drown her and take her out of her misery).  I have seen most of the nominated movies and I am not sure who could have beaten that performance. I loved C. Ejiofor's performance as well. Anyway, it was a movie that delivered the usual cruel story of slavery. I can't say that I liked it so much that it deserved 5 stars but it was good. I don't know...What do I know?",3.0,Okay,1395014400,"03 17, 2014"
36,1677156,A2NVOYAHH1CNSH,B00G4Q3KOC,tmixjr68,"[0, 0]",Not as good as I thought it would be.,3.0,So So,1405987200,"07 22, 2014"
37,1677180,A1Q9P25R6OKZV8,B00G4Q3KOC,"William C. Anderson ""wilmeaux""","[0, 0]",It seemed to concentrate on the horrors of slavery rather than telling the story. I would have preferred to see a film that had better continuity in the story line.,3.0,A fairly well made and cast film,1397520000,"04 15, 2014"
38,1677254,A19SBIW8TFMZ5S,B00G6Q4TOK,SanDiegoJesse,"[0, 0]","Made it to the halfway point and gave up in frustration and disappointment.  Nice cinematography and vivid colors in the wardrobe,  but I felt no connection whatsoever to the main character.  Plus, the plot seemed disjointed and fragmented.  Some scenes dragged on with no dialog and became boring to watch.",3.0,"Had Potential, but...",1400198400,"05 16, 2014"
39,1678067,AJEREEIU1TJHA,B00GEKO51U,Andrew,"[0, 0]",Sad to see vaughn taking such male-stereotypical diminished roles.,3.0,Three Stars,1405296000,"07 14, 2014"
40,1678117,A251QCDFN5CFD4,B00GEKO51U,Heather,"[0, 0]","Stupid, but very cute.",3.0,so cute! silly!,1404259200,"07 2, 2014"
41,1678158,AZO1U1UX3AVFZ,B00GEKO51U,Michelle Dowdican,"[1, 2]",This far fetched story was not great to watch. They tried to make you laugh and cry over this story line. I felt like the story was to weak. I did not care about the main character as much as they wanted me to.,3.0,Delivery Man OK,1396051200,"03 29, 2014"
42,1678307,A3N92C1JTN6HX5,B00GHH9HZY,TEE-TEE,"[0, 0]",oaky for a bored Saturday.,3.0,Three Stars,1405814400,"07 20, 2014"
43,1678760,A1FSMXVWQNZAXL,B00GM1X2RO,Susan Robetoy,"[0, 1]",I love this series but there are three episodes missing.  How can you call it a Season with missing episodes.,3.0,FALSE ADVERTISING,1396051200,"03 29, 2014"
44,1678970,A3UT8282ZPMDIT,B00GMV8H9C,Dan Hawks,"[1, 1]","Not the best movie but, Bryan Cranston (Breaking Bad) does a great job in this movie also. I liked the movie although I didn't love it. The story line is not too great. The actors are.",3.0,Good movie,1395619200,"03 24, 2014"
45,1678985,A2HMOCCXJ0CKM3,B00GMV8IGO,alexbaltimore,"[0, 0]","Spike Lee- what the hell?  You took an amazing Korean movie and made it into a terrible attempt at remaking Sin City.  A terrible, graphic-novel like take on a great and easily translatable original.",3.0,Spike Lee- what the hell?,1395705600,"03 25, 2014"
46,1679038,A1597QLY74N20Q,B00GMV8IGO,Kodiak Girl,"[0, 0]",This was way more violent than I expected and the story was not the best. If you like a lot of violence and a main character who is not likable this is your movie.,3.0,Pretty bloody,1396569600,"04 4, 2014"
47,1679365,A1TJLSSL0J0ZHA,B00GMV8LIO,Diana L. Cain,"[0, 0]","Way to much hype for a movie that was just OK. I'm a fan of Jennifer Lawrence and Amy Adams but you can't make a great movie with a subject thats been worked to death. It's wasn't funny enough to be a comedy, violent enough to be scary or romantic enough to be a romance - it was everything but just not enough of anything.",3.0,bummer,1400198400,"05 16, 2014"
48,1679581,A3RP5TGVWJFLCL,B00GMV8LIO,Marsha Hayes,"[0, 0]",I don't get these award winning movies.  i fall asleep.  I guess I have no culture.,3.0,Three Stars,1404086400,"06 30, 2014"
49,1679621,A3CE44SUJDTK34,B00GMV8LIO,NoOneYouKnow,"[0, 0]","The movie's funny in a dark humor sort of way.  It's preposterous but it's meant to be.  The acting is good.  Basically, it's just a bunch scam artist losers running around after money in the 70s.",3.0,People Behaving Badly,1405382400,"07 15, 2014"
50,1679851,A197NXL2K2XPTF,B00GO5I0HU,amazonka,"[0, 1]","I was hoping to watch some amazing kung-fu fights similar to those in Flash Point and Ip Man movies of Donnie Yen. Unfortunately, the Special ID is not the best martial arts movie, so fans will be disappointed here. Apart from one good cars chasing scene, there is really nothing memorable about it. I was under impression that the actors were tired to perform, the fights were boringly sluggish and the overall direction was draggingly poor.",3.0,Not as good as Flash Point,1400371200,"05 18, 2014"
51,1679934,A3ULTDERVTUA5D,B00GOHZLDO,"christopher driggers ""Crowdancer""","[1, 4]","i went into this film with an open honest heartfelt desire to like it, but sadly half way in i found it boring trite and predictable.i wanted to honestly give it a chance but sadly i found myself yawning and thinking to myself i hope it gets better,but it never did.The young actors were sadly very predictable the plot was boring and also VERY predictable.I couldn't get interested in the young man playing the lead and i simply wanted to turn it off half way through.Honestly i regret renting this film and wasting my money. .",3.0,sadly lacking in every way,1394323200,"03 9, 2014"
52,1679950,A1HCCQW16WNY4Z,B00GOHZLDO,RGM,"[0, 0]",NOT AS GOOD AS IT COULD HAVE BEEN,3.0,Three Stars,1404604800,"07 6, 2014"
53,1679957,A1V666Y9QXUUWP,B00GOHZLDO,"tmd54 ""tmd54""","[1, 1]","interesting enough to keep me watching, but nothing that great. l like sam neil, no matter the part he plays. believable, not so much.",3.0,a way to while away some hours,1399334400,"05 6, 2014"
54,1680247,AXO4PQU0XG3TG,B00GRZPRB4,Dwight,"[0, 1]","Watching this movie, I wondered why someone so sweet and pretty and clean looking as the lead actress kept doing nude scenes.  This movie is similar to those 70s exploitation films made in the Philippines and often starring Pam Grier in terms of cheap bare sets and spare dialogue and kind of nonsensical but horrible situations.And then the contradictions in the storyline made me think that this is the companion to I Spit On Your Grave which was famous in my high school years but I never watched until about a year ago and I advise that everyone wait til they are older to watch that movie.There is NO WAY that anyone would star in I Spit On Your Grave out of narcissism.  I think it was an act of kindness on the part of the female lead to further expose the lies about rape and blaming the victim by really showing brutality towards someone so pretty that you would have to be a real dirtbag to hurt them.That's why Sarah Malukul Lane is cast because you just want to smooth her hair back and buy her a creamy cable knit sweater not hurt her as she is repeatedly hurt in this movie.PLUS the people who hurt her also offer her a helping hand because they LIKE her so that is definitely addressing the claims by rapists and mutilators that actually they just had a bad day or they actually lurve their victims.This movie is more than its nude scenes but those nude scenes say a lot about the actress willing to make them because throughout she is really nice as a person and very vulnerable and she keeps being hurt as if - as the Chinese say - the sky has no eye.It's kind of stunning that three movies together tell a tale, make a statement about rape and respond to the excuses and lies of rapists and those who are pro-rape.In order, you should watchI Spit On Your GraveK-11 for Portia Doubleday's performanceand finally this movie, Jailbait.",3.0,the third in a tryptich about educating us on the lies about rape,1402704000,"06 14, 2014"
55,1680589,A1SM9Z3UXV6M0T,B00GSBMNOQ,Kenna Mae Reese,"[1, 2]",This film is too  too sad!  It was aggravating to see the mentality of those Christians/nuns and the suffering those women experienced.,3.0,Those Nuns!,1399680000,"05 10, 2014"
56,1680728,A3H65GBDSJRNO4,B00GSBMNOQ,"Teddy and Me ""JLEE""","[0, 0]",I thought the movie would be much better from the hype it received (and the nomination). It was good but not great. Always love Judy Dench.,3.0,OK.....Entertaining.,1399248000,"05 5, 2014"
57,1681049,A30U7BDGGFHABE,B00GST8U4U,Charleen Stockwell,"[0, 2]","As a blue water sailor, I could not help commenting on the stupid mistakes that led to the disaster. The only surprise is that he survived at all. So many dumb mistakes. At least it was not true.",3.0,Just OK,1395532800,"03 23, 2014"
58,1681293,A1PQO5I6EF3PFZ,B00GST8U4U,Sheryl Peck,"[0, 2]","For a film with no oral script, it was mildly captivating.  It is hard to imagine surviving this kind of disaster and not just giving up.",3.0,Scary,1394496000,"03 11, 2014"
59,1681510,A2DWRWZRRNA9X3,B00GTZWXYQ,giggles,"[0, 0]",Season 8 was kinda good but not as good as the other seasons. I was a little disappointed at the ending.,3.0,Kinda good,1400284800,"05 17, 2014"
60,1681540,ADEA2UPNFDS0C,B00GTZWZH6,A Curious Mind,"[0, 0]","I loved this show, but I'm not a fan of how the last few sessions really went. Its sad, the show had so much potential, but somehow it kept getting caught up with rogue agents trying to steal WH13.",3.0,it was ok,1402876800,"06 16, 2014"
61,1681768,A362AIO0XP1F6V,B00GUO2SKA,Christine Malloy,"[0, 0]",Amazing acting but the story line was rather boring although a reminder of how awful Aids is. Another story about greed and bureaucracy getting in the way of progress...and people die because of it. Ugh!,3.0,Great acting,1395100800,"03 18, 2014"
62,1681777,A1Z77BZWQTRIBM,B00GUO2SKA,"C. Munoz ""Cinexcess""","[0, 1]",Wonderful acting but a somewhat lame story line and very predictable.  It's worth seeing but just not as exciting as I had hoped.,3.0,Great Acting...,1396656000,"04 5, 2014"
63,1681995,A2CQ5CX1TFRKU7,B00GUO2SKA,John Nolan,"[0, 0]",It was kind of anti climatic. I was expecting something more by the end of the movie. wouldn't recommend it.,3.0,OK but not great,1391990400,"02 10, 2014"
64,1682241,A2UOT6J9RDLNAU,B00GUO2SKA,Polli C. Oliver,"[0, 0]","I had heard good reviews about this movie, but i was actually disappointed in it. I got the message about how screwed up the FDA is but the conveyance of the movie missed the mark for me. And the acting was only just ok for me. I don't recommend this movie.",3.0,Missed the mark,1392595200,"02 17, 2014"
65,1682408,A2KP2MT4LSOHME,B00GUO2SKA,Tina,"[1, 3]",This was so depressing.  Aids is such a terrible disease and the ''establishment'' did not much to help out which this movie again proved.Matthew McConaughey was great in the role.  I just prefer more uplifting movies. If I want to be depressed and saddened I need only  watch news programs of events of the day!,3.0,Deserved Oscar but...,1397347200,"04 13, 2014"
66,1682446,A18BGUOWFZ867F,B00GUO2SKA,William Johnson,"[0, 0]","The acting is unbelievable, amazing, and very convincing. I see why the lead and supporting received Oscars. however, the subject matter was depressing and took me back to the 80's when hatred was brutal and dark.",3.0,Depressingly Brilliant,1394150400,"03 7, 2014"
67,1682453,A1S1BJFTA644TU,B00GUO2SKA,Zalmorion the Fantastic,"[0, 1]","First of all, the acting in this film is incredible.  Even the minor characters are portrayed well.  You will love the good guys, no matter all their flaws.  You will hate the ignorant, greedy, and foolish &#34;bad guys&#34; who meddle in innocent peoples' lives.  Leto and McConaughey BECOME different people for this film.  Just amazing to watch.The main issue with this film is that it is a depressing, slowly paced, struggle against enemies who always win because they have the government in their pockets.  It's the feel bad movie of the year.That said, it is very important that we highlight the struggles of the little guy versus the evils of Big Pharma and Big Government.  Movies like this demonstrate and reveal how cruel and greedy and outlandishly stupid the government is.This man's struggle is worth knowing about, but it will leave you with a bad taste in your mouth.  That taste is the need to fix our horrible, intrusive, and incompetent healthcare system and the corruptible government that regulates everything.Definitely worth seeing.  Never worth buying.  It's inspirational and informative.  It's also very sad.",3.0,Great To Know.  Not So Great Entertainment,1395100800,"03 18, 2014"
68,1682789,A38QMB1F8JSL6Z,B00GYVPHHU,lefthandof power,"[1, 1]","The movie scenes often interrupt the concert performance. I hated that. They should have followed the example of Iron Maiden: Flight 666. They have the documentary, where the songs are interrupted by other footage and they have an option where you can watch the concert alone.",3.0,SHOULD HAVE USED FLIGHT 666 AS AN EXAMPLE,1391385600,"02 3, 2014"
69,1682971,AK35M6YF7J82Z,B00H0EN98E,K. Kaphon,"[0, 0]",Quirky comedy with some bloody scenes.,3.0,Three Stars,1404604800,"07 6, 2014"
70,1682980,A18TLTN49UNRX0,B00H0EN98E,Robert,"[0, 0]",Kinda stupid movie. Unbelievable what ppl do for money!,3.0,Crazy!,1405209600,"07 13, 2014"
71,1682982,A1QRLTW4WCM42C,B00H0EN98E,"R. Turnbull ""art lover""","[0, 0]","Somewhat bizarre and certainly not great cinema, but entertaining and a bit disturbing nonetheless.",3.0,entertaining and disturbing,1404432000,"07 4, 2014"
72,1683427,A3GL1RW3IIDP8X,B00H3N3UV8,"jules ""spirou""","[1, 2]","It was really low budget but it worked, the writing and the acting was poor though. It is a good premise.",3.0,"Small budget, good idea.",1394668800,"03 13, 2014"
73,1683594,A394AF4TZK8WJO,B00H4IR3JC,"suzietoo ""sci-fi reader""","[0, 0]","This movie was not outstanding, but lessons were there as well as caution when dealing with people in a panic. The subtitles were, I believe, rough translations, which caused bad acting. But I don't think the writers and director had great acting in mind. They wanted to show the truth about the horror of an epidemic in a major city.",3.0,An Epidemic Can Effect Everyone!,1399420800,"05 7, 2014"
74,1683955,A19DC5DBKRZ7JS,B00H7KJRVY,Adeline,"[0, 0]",Not great but good entertainment.,3.0,Okay for a saturday night movie,1404777600,"07 8, 2014"
75,1684124,AK3O2SY6AY679,B00H7KJTCG,Bearnu,"[0, 1]","Good entertainment. Not great, but OK",3.0,Fun Movie Pretty Steady Plot,1404259200,"07 2, 2014"
76,1684159,A1X3GHUIYI9XMJ,B00H7KJTCG,Denn,"[0, 0]","And like others I wanted to like it.  But, the pathos is so think you can cut it with a dull butter knife.Too thick.",3.0,Technically good,1399420800,"05 7, 2014"
77,1684523,A2EQD0UIDAA08I,B00H7LINKE,Irene J. Hieber,"[0, 0]","Good acting, depressing movie.  Just a little overboard",3.0,Three Stars,1405296000,"07 14, 2014"
78,1684527,A04740333HUOPRGNFV2HM,B00H7LINKE,Jackie,"[0, 0]","It was ok, but I wasn't that pleased with it. It was confusing, and not what I thought it would be.",3.0,August: Osage County,1398211200,"04 23, 2014"
79,1684566,A3OAX7WCNZBJ4I,B00H7LINKE,Judy S Farron,"[0, 0]","Acting was good, but I was disappointed by the movie overall.  I'm not even sure why.  Would not recommend this movie..",3.0,Disappointing,1398643200,"04 28, 2014"
80,1684642,A2YO38M6L16K1Y,B00H7LINKE,Pam NYC,"[0, 0]","If this stellar cast of actors were not in this film, I would have shut if off in five minutes.  To watch a seriously dysfunctional family for an entire movie is bound to be SAD and DEPRESSING!",3.0,Great Acting; DEPRESSING Movie!,1402358400,"06 10, 2014"
81,1684648,A1GIAGNVGNYWT4,B00H7LINKE,pennypincher,"[3, 5]","Great Perfomances by the most talented actors...but, if you've ever had to suffer insufferable relatives, uncomfortable thanksgiving dinners or funerals and their aftermath,..(SPOILER)..i found myself envying the character that killed himself early on..",3.0,Ugh...,1397088000,"04 10, 2014"
82,1684663,A3OC84MTY0C6KC,B00H7LINKE,RK,"[0, 0]","Good acting by Meryl Streep and Julie Roberts, but overall a depressing movie about a screwed up family. If you think your relatives are worthless, watch this movie",3.0,Dark,1398297600,"04 24, 2014"
83,1684736,A2MORASKNQYQAN,B00H7LINKE,William Gustafson,"[0, 0]",Lots and lots of very bad language not suitable for adult ears.  Actors do their best to deal with a really bad story line.,3.0,Disfunctional Movie Portrays a Disfunctional Family,1397865600,"04 19, 2014"
84,1684746,A26090C7U3P1J,B00H83EUL2,2 Fires,"[0, 0]","When it was over I thought, &#34;Is that it?&#34; Not bad, but not great either.",3.0,A Little Overrated,1404345600,"07 3, 2014"
85,1684748,AZV9PA8JPVX8Y,B00H83EUL2,3marts,"[0, 0]","I know this got rave reviews, but I wasn't a huge fan.  Bullock is great in it, but the movie itself wasn't good.",3.0,Gravity,1402185600,"06 8, 2014"
86,1684801,A1WEVFLBF0ZHY7,B00H83EUL2,Amazon Customer,"[3, 27]",This movie was visually fascinating but it was very painful and annoying to sit through 90 minutes listening to Bullock's screams. It's not human. Is this what she sounds like when she orgasms??,3.0,Sandra Buttock's screams were annoying!,1391817600,"02 8, 2014"
87,1684810,A29WJ8NE3IMZCK,B00H83EUL2,Amy Makowski,"[0, 0]","I like both actors in this movie, but I really wasn't entertained. It was cool to &#34;see&#34; space and how it might be up there... But the story line was a little bit of a downer and not super exciting.",3.0,"Cool to learn about space, but not entirely entertaining",1403049600,"06 18, 2014"
88,1684849,ASSU4J6VV0K7W,B00H83EUL2,barrel,"[1, 2]","My husband and I were anxious to see this, but we were really disappointed.  We found it pretty boring.  Good special effects, though.",3.0,Disappointed,1394496000,"03 11, 2014"
89,1684875,A4GGT6O0GQNV2,B00H83EUL2,BKarno,"[2, 5]","I know everyone loves this movie, but I just didn't see what all the hullabaloo was about.  Terrible scientific accuracy didn't help either.",3.0,Put me to Sleep,1394841600,"03 15, 2014"
90,1684917,A378AEOP6UAWLN,B00H83EUL2,Capt;'n Jon,"[0, 1]","An entertaining movie, but not great.  The special effects are fabulous, but the plot line is strained and the character development is shallow.  I'm glad i watched it on amazon, and didn't pay a movie theatre price.",3.0,entertaining but not great,1395705600,"03 25, 2014"
91,1685203,A382F17HSJL0M7,B00H83EUL2,FreeMike1001,"[0, 1]","good sense of zero gravity, low friction. Bullock character unbelievable. Even NASA wouldn't send an emotional wreck into space with 6 months training.",3.0,ok survival flic,1396310400,"04 1, 2014"
92,1685249,A1OCJHX2COAS2Y,B00H83EUL2,"gpstogo ""Lee""","[1, 2]","The story is weak and acting roles ordinary. Special effects good but that's really about it. I was surprised at being disappointed when watching it honestly. It's almost like the producers said ... 'we're bored, let's do something .. hey, maybe something about people getting lost in space or something?' Disappointing film.",3.0,Not worth it.,1397174400,"04 11, 2014"
93,1685266,A1WQ9VYNAQZ14R,B00H83EUL2,HAPPY777,"[0, 0]","SANDRA BULLOCK AND GEORGE CLOONEY LOST A BIT OF GRAVITY ON THIS ONE.  LOVE-LOVE-LOVE BOTH, BUT THIS MOVIE JUST WASN'T THAT GOOD FOR ME.  SORRY BUT TY!",3.0,"SANDRA BULLOCK, GEORGE CLOONEY GOOD BUT SLOW WATCH",1403481600,"06 23, 2014"
